run      name                                   ped   pedrms        led   ledrms  rms/led   flags
01107039 EN228_r11c09_Dep06Ch07_F06/0/04/0    50.35     0.64    1396.20    54.90   0.0035   0   Good 
01107039 EN247_r12c06_Dep06Ch08_F06/0/02/3    63.53     0.61    1307.40    47.47  -0.0019   0   Good 
01107039 EN248_r12c07_Dep06Ch09_F06/0/03/2    44.31     0.61     917.40    41.82  -0.0089   0   Good 
01107039 EN249_r12c08_Dep06Ch10_F06/0/03/3    42.43     0.67     641.40    33.62  -0.0255   0   Good 
01107039 EN250_r12c09_Dep06Ch11_F06/0/04/2    41.43     0.66    1300.20    50.95   0.0007   0   Good 
01107039 EN269_r13c06_Dep06Ch12_F07/0/02/1    41.96     0.64     820.20    36.05  -0.0170   0   Good 
01107039 EN270_r13c07_Dep06Ch13_F07/0/03/0    53.25     0.62    1039.20    43.58  -0.0062   0   Good 
01107039 EN271_r13c08_Dep06Ch14_F07/0/03/1    30.61     0.66     683.40    35.89  -0.0206   0   Good 
01107039 EN272_r13c09_Dep06Ch15_F07/0/04/0    59.08     0.64    1072.80    43.08  -0.0064   0   Good 
01107039 EN291_r14c06_Dep06Ch16_F07/0/02/3    47.54     0.64     675.60    34.07  -0.0236   0   Good 
01107039 EN292_r14c07_Dep06Ch17_F07/0/03/2    70.75     0.61     898.80    40.23  -0.0109   0   Good 
01107039 EN293_r14c08_Dep06Ch18_F07/0/03/3    53.11     0.67     786.60    32.75  -0.0219   0   Good 
01107039 EN294_r14c09_Dep06Ch19_F07/0/04/2    25.02     0.69    1032.00    42.00  -0.0078   0   Good 
01107039 EN313_r15c06_Dep06Ch20_F08/0/02/1    50.44     0.63    1203.60    42.70  -0.0061   0   Good 
01107039 EN314_r15c07_Dep06Ch21_F08/0/03/0    78.07     0.62     840.60    36.49  -0.0161   0   Good 
01107039 EN315_r15c08_Dep06Ch22_F08/0/03/1    43.56     0.65     912.60    40.95  -0.0099   0   Good 
01107039 EN316_r15c09_Dep06Ch23_F08/0/04/0    58.21     0.65    1108.80    47.23  -0.0025   0   Good 
01107039 EN335_r16c06_Dep06Ch24_F08/0/02/3    77.39     0.63     969.60    43.45  -0.0068   0   Good 
01107039 EN336_r16c07_Dep06Ch25_F08/0/03/2    54.84     0.66     879.00    35.37  -0.0166   0   Good 
01107039 EN337_r16c08_Dep06Ch26_F08/0/03/3    87.59     0.64     977.40    42.68  -0.0075   0   Good 
01107039 EN338_r16c09_Dep06Ch27_F08/0/04/2    50.50     0.76    1167.00    49.02  -0.0008   0   Good 
